@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs_nn-1 numeric
@attribute inputs_nn-2 numeric
@attribute inputs_nn-3 numeric
@attribute inputs_nn-4 numeric
@attribute inputs_nn-5 numeric
@attribute inputs_nn-6 numeric
@attribute inputs_nn-7 numeric
@attribute inputs_nn-8 numeric
@attribute inputs_nn-9 numeric
@attribute inputs_nn-10 numeric
@attribute inputs_nn-11 numeric
@attribute inputs_nn-12 numeric
@attribute inputs_nn-13 numeric
@attribute inputs_nn-14 numeric
@attribute inputs_nn-15 numeric
@attribute inputs_nn-16 numeric
@attribute outputs_nn-1 numeric
@attribute outputs_nn-2 numeric
@attribute outputs_nn-3 numeric
@attribute outputs_nn-4 numeric
@attribute outputs_nn-5 numeric
@attribute outputs_nn-6 numeric
@attribute outputs_nn-7 numeric
@attribute outputs_nn-8 numeric
@attribute outputs_nn-9 numeric
@attribute outputs_nn-10 numeric

@data
26288,'2018/10/03 20:13:45:918',28,0.415816,0.400248,0.380225,0.357305,0.333203,0.30963,0.288132,0.269949,0.255922,0.246437,0.241426,0.240413,0.000002,0.00056,0.001559,0,1,0,0,0,0,0,0,0,0,0
26289,'2018/10/03 20:13:45:976',28,0.441659,0.422815,0.399001,0.372396,0.345303,0.319885,0.297914,0.2806,0.268491,0.261472,0.258854,0.259528,0.000002,0.000501,0.001566,0,1,0,0,0,0,0,0,0,0,0
26290,'2018/10/03 20:13:46:022',28,0.469617,0.449723,0.424405,0.395854,0.366449,0.338499,0.314008,0.29448,0.280793,0.273146,0.271087,0.273616,0.000002,0.001455,0.001578,0,1,0,0,0,0,0,0,0,0,0
26291,'2018/10/03 20:13:46:069',28,0.465385,0.447245,0.424347,0.39882,0.372936,0.348839,0.328309,0.312575,0.302205,0.297081,0.296465,0.299136,0.000005,0.000911,0.001592,0,1,0,0,0,0,0,0,0,0,0
26292,'2018/10/03 20:13:46:127',28,0.441646,0.423366,0.400373,0.374873,0.349202,0.325551,0.305709,0.290882,0.281579,0.277605,0.278135,0.281874,0.000002,0.000474,0.001566,0,1,0,0,0,0,0,0,0,0,0
26293,'2018/10/03 20:13:46:173',28,0.449208,0.425771,0.396475,0.364226,0.332005,0.302485,0.277716,0.258923,0.246455,0.239858,0.238068,0.239663,0.000001,0.00111,0.00153,0,1,0,0,0,0,0,0,0,0,0
26294,'2018/10/03 20:13:46:220',28,0.479551,0.457445,0.430021,0.400048,0.370215,0.342767,0.319286,0.30062,0.286956,0.277968,0.272992,0.271181,0.000003,0.000535,0.001526,0,1,0,0,0,0,0,0,0,0,0
26295,'2018/10/03 20:13:46:278',28,0.48338,0.448848,0.411987,0.37913,0.353752,0.336138,0.32437,0.315892,0.308756,0.302021,0.295334,0.288276,0.000002,0.000597,0.001518,0,1,0,0,0,0,0,0,0,0,0
26296,'2018/10/03 20:13:46:324',28,0.420061,0.411024,0.399191,0.385295,0.37016,0.354631,0.339509,0.325483,0.313084,0.302656,0.29434,0.288086,0.000001,0.00045,0.001519,0,1,0,0,0,0,0,0,0,0,0
26297,'2018/10/03 20:13:46:371',28,0.50489,0.476237,0.44067,0.401931,0.36383,0.329739,0.302168,0.282506,0.270942,0.266582,0.267709,0.272153,0.000002,0.000554,0.001535,0,1,0,0,0,0,0,0,0,0,0
26298,'2018/10/03 20:13:46:417',28,0.456545,0.43042,0.398696,0.365251,0.333881,0.307716,0.288786,0.277783,0.274079,0.275968,0.281069,0.286824,0.000001,0.000364,0.001513,0,1,0,0,0,0,0,0,0,0,0
